id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,city,state,sqft_lot15
7129300520,20141013T000000,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,Adjuntas,Puerto Rico,5650
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,Adjuntas,Puerto Rico,7639
5631500400,20150225T000000,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,Juana Diaz,Puerto Rico,8062
2487200875,20141209T000000,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,Ponce,Puerto Rico,5000
1954400510,20150218T000000,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,Mayaguez,Puerto Rico,7503
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,San Sebastian,Puerto Rico,101930
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,Ciales,Puerto Rico,6819
2008000270,20150115T000000,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,Ponce,Puerto Rico,9711
2414600126,20150415T000000,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,Ponce,Puerto Rico,8113
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,Las Marias,Puerto Rico,7570
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,Isabela,Puerto Rico,8925
9212900260,20140527T000000,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,Juana Diaz,Puerto Rico,6000
114101516,20140528T000000,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,Lares,Puerto Rico,12697
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,Utuado,Puerto Rico,10208
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,Ponce,Puerto Rico,4850
9297300055,20150124T000000,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,Yauco,Puerto Rico,4000
1875500060,20140731T000000,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,Mayaguez,Puerto Rico,14018
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,Ponce,Puerto Rico,4300
16000397,20141205T000000,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,San Sebastian,Puerto Rico,5095
7983200060,20150424T000000,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,Anasco,Puerto Rico,8850
6300500875,20140514T000000,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,Yauco,Puerto Rico,4980
2524049179,20140826T000000,2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,Moca,Puerto Rico,20336
7137970340,20140703T000000,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,Coamo,Puerto Rico,7005
8091400200,20140516T000000,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,Ponce,Puerto Rico,8386
3814700200,20141120T000000,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,Yauco,Puerto Rico,6865
1202000200,20141103T000000,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,San Sebastian,Puerto Rico,4705
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,Ponce,Puerto Rico,3573
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,Guayanilla,Puerto Rico,3861
5101402488,20140624T000000,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,Manati,Puerto Rico,6235
1873100390,20150302T000000,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,Isabela,Puerto Rico,6026
8562750320,20141110T000000,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,Villalba,Puerto Rico,3980
2426039314,20141201T000000,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,Ponce,Puerto Rico,1756
461000390,20140624T000000,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,Santa Isabel,Puerto Rico,5000
7589200193,20141110T000000,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,Ponce,Puerto Rico,5080
7955080270,20141203T000000,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,Yauco,Puerto Rico,8720
9547205180,20140613T000000,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,Moca,Puerto Rico,3264
9435300030,20140528T000000,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,San Sebastian,Puerto Rico,11467
2768000400,20141230T000000,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,Utuado,Puerto Rico,4700
7895500070,20150213T000000,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,Las Marias,Puerto Rico,7800
2078500320,20140620T000000,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,Mayaguez,Puerto Rico,11884
5547700270,20140715T000000,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,Ponce,Puerto Rico,5669
7766200013,20140811T000000,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,Penuelas,Puerto Rico,30617
7203220400,20140707T000000,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,Moca,Puerto Rico,5639
9270200160,20141028T000000,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,Hatillo,Puerto Rico,2640
1432701230,20140729T000000,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,Aguada,Puerto Rico,8808
8035350320,20140718T000000,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,Aguada,Puerto Rico,9232
8945200830,20150325T000000,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,Aguada,Puerto Rico,8840
4178300310,20140716T000000,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,Aguada,Puerto Rico,13685
9215400105,20150428T000000,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,Aguada,Puerto Rico,5100
822039084,20150311T000000,1.35E+06,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,Aguada,Puerto Rico,72513
5245600105,20140916T000000,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,Aguada,Puerto Rico,9364
7231300125,20150217T000000,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,Aguada,Puerto Rico,9133
7518505990,20141231T000000,600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,Aguada,Puerto Rico,4080
3626039271,20150205T000000,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,Aguada,Puerto Rico,6738
4217401195,20150303T000000,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,Aguada,Puerto Rico,6000
9822700295,20140512T000000,885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,Aguada,Puerto Rico,5000
9478500640,20140819T000000,292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,Aguada,Puerto Rico,4500
2799800710,20150407T000000,301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,Aguada,Puerto Rico,4750
7922800400,20140827T000000,951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,Aguada,Puerto Rico,11044
8079040320,20150223T000000,430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,Aguada,Puerto Rico,8542
