iter	RMSE
0	339465.9667
1	319318.7716
2	301311.6212
3	284835.7645
4	269630.0216
5	255835.8642
6	243967.5357
7	233278.4413
8	224269.5027
9	215918.0495
10	207995.487
11	201219.8284
12	194777.9704
13	189619.3602
14	184683.7711
15	179500.0094
16	174029.6914
17	170362.3739
18	166950.7088
19	163994.8568
20	160792.1082
21	158340.7962
22	155803.0937
23	153119.6812
24	151145.4768
25	149077.942
26	147632.8853
27	145892.9909
28	144267.9124
29	142503.0183
30	140021.5738
31	138370.3546
32	137346.5544
33	136327.3389
34	134767.3824
35	133742.4099
36	132626.6555
37	131721.2354
38	131112.8673
39	130467.1326
40	129053.6063
41	128363.2003
42	127756.9162
43	127231.1207
44	126808.4978
45	126276.1325
46	125782.3915
47	125038.3061
48	123776.3271
49	123326.1269
50	122839.8324
51	122531.0919
52	122138.2571
53	121779.364
54	121401.237
55	120758.6739
56	120469.2558
57	120068.6185
58	119712.6974
59	119440.9253
60	119143.953
61	118771.1779
62	118090.2078
63	117856.134
64	117585.2658
65	117337.1167
66	116876.8228
67	116570.1613
68	116324.358
69	115946.4893
70	115788.0972
71	115468.9025
72	115213.2683
73	114643.6553
74	114448.729
75	114163.277
76	114002.7298
77	113808.4494
78	113628.0853
79	113408.7531
80	112841.7383
81	112638.2314
82	112371.1534
83	111818.0077
84	111542.7842
85	111320.5693
86	111160.5232
87	110709.3699
88	110433.9071
89	110213.7757
90	109953.7446
91	109661.5721
92	109470.6574
93	109206.9664
94	109038.8702
95	108865.6173
96	108647.2048
97	108512.6335
98	108257.8111
99	108038.2099
