iter	Passed	Remaining
0	10	1007
1	19	972
2	29	948
3	37	891
4	44	841
5	51	813
6	58	781
7	66	759
8	73	744
9	80	724
10	87	710
11	94	692
12	101	680
13	107	663
14	114	646
15	120	633
16	127	623
17	134	613
18	141	602
19	148	594
20	155	583
21	161	571
22	167	560
23	173	549
24	180	540
25	186	530
26	192	520
27	198	510
28	204	501
29	211	493
30	218	485
31	224	477
32	231	469
33	237	460
34	244	454
35	250	446
36	257	438
37	264	431
38	270	423
39	276	415
40	283	407
41	289	399
42	295	392
43	301	384
44	309	378
45	318	373
46	326	367
47	333	361
48	340	353
49	346	346
50	353	339
51	360	332
52	366	325
53	374	318
54	380	311
55	387	304
56	393	296
57	400	289
58	406	282
59	413	275
60	419	268
61	425	261
62	432	253
63	438	246
64	445	239
65	452	232
66	459	226
67	466	219
68	473	212
69	479	205
70	486	198
71	493	191
72	500	184
73	506	177
74	512	170
75	519	164
76	525	156
77	531	149
78	537	142
79	544	136
80	550	129
81	557	122
82	565	115
83	575	109
84	582	102
85	590	96
86	597	89
87	604	82
88	612	75
89	620	68
90	627	62
91	635	55
92	641	48
93	648	41
94	654	34
95	662	27
96	669	20
97	676	13
98	683	6
99	689	0
